t_s,i_A,i_ref_A,active
0.000000,0.000000,15.000000,0.000000
0.000002,0.000000,15.000000,0.000000
0.000004,0.000000,15.000000,0.000000
0.000006,0.000000,15.000000,0.000000
0.000008,0.000000,15.000000,0.000000
0.000010,0.000000,15.000000,0.000000
0.000012,0.000000,15.000000,0.000000
0.000014,0.000000,15.000000,0.000000
0.000016,0.000000,15.000000,0.000000
0.000018,0.000000,15.000000,0.000000
0.000020,0.000000,15.000000,0.000000
0.000022,0.000000,15.000000,0.000000
0.000024,0.000000,15.000000,0.000000
0.000026,0.000000,15.000000,0.000000
0.000028,0.000000,15.000000,0.000000
0.000030,0.000000,15.000000,0.000000
0.000032,0.000000,15.000000,0.000000
0.000034,0.000000,15.000000,0.000000
0.000036,0.000000,15.000000,0.000000
0.000038,0.000000,15.000000,0.000000
0.000040,0.000000,15.000000,0.000000
0.000042,0.000000,15.000000,0.000000
0.000044,0.000000,15.000000,0.000000
0.000046,0.000000,15.000000,0.000000
0.000048,0.000000,15.000000,0.000000
0.000050,0.000000,15.000000,0.000000
0.000052,0.000000,15.000000,0.000000
0.000054,0.000000,15.000000,0.000000
0.000056,0.000000,15.000000,0.000000
0.000058,0.000000,15.000000,0.000000
0.000060,0.000000,15.000000,0.000000
0.000062,0.000000,15.000000,0.000000
0.000064,0.000000,15.000000,0.000000
0.000066,0.000000,15.000000,0.000000
0.000068,0.000000,15.000000,0.000000
0.000070,0.000000,15.000000,0.000000
0.000072,0.000000,15.000000,0.000000
0.000074,0.000000,15.000000,0.000000
0.000076,0.000000,15.000000,0.000000
0.000078,0.000000,15.000000,0.000000
0.000080,0.000000,15.000000,0.000000
0.000082,0.000000,15.000000,0.000000
0.000084,0.000000,15.000000,0.000000
0.000086,0.000000,15.000000,0.000000
0.000088,0.000000,15.000000,0.000000
0.000090,0.000000,15.000000,0.000000
0.000092,0.000000,15.000000,0.000000
0.000094,0.000000,15.000000,0.000000
0.000096,0.000000,15.000000,0.000000
0.000098,0.000000,15.000000,0.000000
0.000100,0.000000,15.000000,0.000000
0.000102,0.000000,15.000000,0.000000
